"replicate","time","NO2","transfer"
"NV8",72.5,1713.316,7
"NV9",72.5,1726.4464,7
"NV10",72.5,1954.04,7
"NV11",72.5,1954.04,7
"NV12",72.5,1840.2432,7
"NV1",0,1,8
"NV2",0,1,8
"NV3",0,1,8
"NV4",0,1,8
"NV5",0,1,8
"NV6",0,1,8
"NV7",0,1,8
"NV8",0,1,8
"NV9",0,1,8
"NV10",0,1,8
"NV11",0,1,8
"NV12",0,1,8
"NV1",19,339.0318,8
"NV2",19,310.0704,8
"NV3",19,290.0202,8
"NV4",19,232.0974,8
"NV5",19,278.8812,8
"NV6",19,345.7152,8
"NV7",19,298.9314,8
"NV8",19,274.4256,8
"NV9",19,316.7538,8
"NV10",19,298.9314,8
"NV11",19,316.7538,8
"NV12",19,323.4372,8
"NV1",27,496.5988,8
"NV2",27,455.7622,8
"NV3",27,446.6874,8
"NV4",27,374.089,8
"NV5",27,426.2691,8
"NV6",27,505.6736,8
"NV7",27,467.1057,8
"NV8",27,428.5378,8
"NV9",27,505.6736,8
"NV10",27,530.6293,8
"NV11",27,503.4049,8
"NV12",27,514.7484,8
"NV1",43.5,870.6878,8
"NV2",43.5,802.6268,8
"NV3",43.5,825.3138,8
"NV4",43.5,720.9536,8
"NV5",43.5,807.1642,8
"NV6",43.5,906.987,8
"NV7",43.5,843.4634,8
"NV8",43.5,784.4772,8
"NV9",43.5,1070.3334,8
"NV10",43.5,1011.3472,8
"NV11",43.5,965.9732,8
"NV12",43.5,1011.3472,8
"NV1",49.5,990.9864,8
"NV2",49.5,940.3402,8
"NV3",49.5,954.1528,8
"NV4",49.5,852.8604,8
"NV5",49.5,912.715,8
"NV6",49.5,1027.82,8
"NV7",49.5,995.5906,8
"NV8",49.5,935.736,8
"NV9",49.5,1267.2384,8
"NV10",49.5,1216.5922,8
"NV11",49.5,1101.4872,8
"NV12",49.5,1161.3418,8
"NV1",64,1525.1856,8
"NV2",64,1415.0256,8
"NV3",64,1498.7472,8
"NV4",64,1348.9296,8
"NV5",64,1467.9024,8
"NV6",64,1520.7792,8
"NV7",64,1560.4368,8
"NV8",64,1419.432,8
"NV9",64,1855.6656,8
"NV10",64,1705.848,8
"NV11",64,1595.688,8
"NV12",64,1648.5648,8
"NV1",0,1,9
"NV2",0,1,9
"NV3",0,1,9
"NV4",0,1,9
"NV5",0,1,9
"NV6",0,1,9
"NV7",0,1,9
"NV8",0,1,9
"NV9",0,1,9
"NV10",0,1,9
"NV11",0,1,9
"NV12",0,1,9
"NV1",29,559.8984,9
"NV2",29,564.3048,9
"NV3",29,509.2248,9
"NV4",29,548.8824,9
"NV5",29,535.6632,9
"NV6",29,520.2408,9
"NV7",29,619.3848,9
"NV8",29,518.0376,9
"NV9",29,575.3208,9
"NV10",29,568.7112,9
"NV11",29,811.0632,9
"NV12",29,718.5288,9
"NV1",37,788.5828,9
"NV2",37,758.5892,9
"NV3",37,728.5956,9
"NV4",37,672.8932,9
"NV5",37,750.0196,9
"NV6",37,741.45,9
"NV7",37,895.7028,9
"NV8",37,805.722,9
"NV9",37,814.2916,9
"NV10",37,822.8612,9
